,City,Temperature,Humidity,Cloudiness,wind_speed,Date,Country,Longitude,Latitude,date_norm
0,olafsvik,33.28,63,100,7.09,1646700798,IS,-23.7142,64.8945,3/8/2022
1,jamestown,31.28,69,100,17.27,1646700798,US,-79.2353,42.097,3/8/2022
2,taksimo,14.29,88,96,1.99,1646700799,RU,114.8794,56.3444,3/8/2022
3,bambous virieux,75.45,100,75,2.3,1646700799,MU,57.7575,-20.3428,3/8/2022
4,albany,52.68,89,100,1.01,1646700799,US,-73.9662,42.6001,3/8/2022
5,puerto del rosario,62.35,59,4,11.5,1646700799,ES,-13.8627,28.5004,3/8/2022
6,aklavik,7.63,93,99,5.95,1646700799,CA,-135.0107,68.2191,3/8/2022
7,kimberley,62.29,100,100,1.14,1646700800,ZA,24.7623,-28.7323,3/8/2022
8,beringovskiy,32.54,98,79,5.66,1646700800,RU,179.3167,63.05,3/8/2022
9,cape town,66.31,77,20,20.71,1646700602,ZA,18.4232,-33.9258,3/8/2022
10,hermanus,67.8,78,100,13.15,1646700800,ZA,19.2345,-34.4187,3/8/2022
11,san patricio,53.91,55,100,14.32,1646700801,US,-97.5169,28.017,3/8/2022
12,esperance,64.24,71,100,10.69,1646700801,AU,121.9,-33.8667,3/8/2022
13,antofagasta,67.3,83,47,2.8,1646700513,CL,-70.4,-23.65,3/8/2022
14,rikitea,79.34,74,6,14.63,1646700801,PF,-134.9692,-23.1203,3/8/2022
15,butaritari,80.8,81,100,16.93,1646700801,KI,172.7902,3.0707,3/8/2022
16,talnakh,-25.4,92,22,1.86,1646700802,RU,88.3972,69.4865,3/8/2022
17,punta arenas,51.91,82,0,16.11,1646700802,CL,-70.9167,-53.15,3/8/2022
18,saskylakh,-30.41,100,97,3.42,1646700802,RU,114.0833,71.9167,3/8/2022
19,myitkyina,68.41,43,23,2.53,1646700802,MM,97.4,25.3833,3/8/2022
20,kokopo,83.75,69,99,5.26,1646700803,PG,152.2633,-4.352,3/8/2022
21,lebu,56.75,88,42,4.68,1646700803,CL,-73.65,-37.6167,3/8/2022
22,bengkulu,77.83,78,91,2.84,1646700803,ID,102.2655,-3.8004,3/8/2022
23,hithadhoo,82.51,65,54,5.7,1646700804,MV,73.0833,-0.6,3/8/2022
24,avarua,75.25,100,75,4.61,1646700804,CK,-159.775,-21.2078,3/8/2022
25,kaeo,73.33,79,38,11.41,1646700804,NZ,173.7833,-35.1,3/8/2022
26,bredasdorp,69.12,68,99,6.91,1646700804,ZA,20.0403,-34.5322,3/8/2022
27,east london,73.89,76,100,12.68,1646700803,ZA,27.9116,-33.0153,3/8/2022
28,lavrentiya,23.7,79,100,6.46,1646700805,RU,-171,65.5833,3/8/2022
29,busselton,72.05,59,100,14.23,1646700805,AU,115.3333,-33.65,3/8/2022
30,bereda,41.23,93,100,10.69,1646700805,ES,-7.5406,43.2686,3/8/2022
31,antalaha,75.09,93,100,8.21,1646700806,MG,50.2788,-14.9003,3/8/2022
32,chuy,65.59,80,97,5.86,1646700806,UY,-53.4616,-33.6971,3/8/2022
33,povenets,-13.76,100,100,0.34,1646700806,RU,34.8262,62.8487,3/8/2022
34,westport,55.72,87,100,1.99,1646700806,US,-73.3579,41.1415,3/8/2022
35,margate,37,62,0,8.01,1646700630,GB,1.3862,51.3813,3/8/2022
36,namatanai,83.79,68,100,7.05,1646700807,PG,152.4333,-3.6667,3/8/2022
37,bluff,77.81,70,65,3.04,1646700807,NZ,168.3333,-46.6,3/8/2022
38,sur,75.25,53,0,9.84,1646700807,OM,59.5289,22.5667,3/8/2022
39,imeni babushkina,-12.86,100,65,3.71,1646700808,RU,43.1285,59.7573,3/8/2022
40,kapaa,78.12,62,100,5.01,1646700808,US,-159.319,22.0752,3/8/2022
41,mataura,77.49,46,77,3.91,1646700808,NZ,168.8643,-46.1927,3/8/2022
42,muroto,50.04,58,4,4.36,1646700808,JP,134.15,33.2833,3/8/2022
43,pevek,-0.67,90,55,2.53,1646700809,RU,170.3133,69.7008,3/8/2022
44,nikolskoye,10.29,100,94,2.48,1646700809,RU,30.7861,59.7035,3/8/2022
45,urumqi,32.95,75,26,6.71,1646700603,CN,87.6005,43.801,3/8/2022
46,arlit,73.85,10,98,12.1,1646700809,NE,7.3853,18.7369,3/8/2022
47,vaini,86.16,79,40,13.8,1646700810,TO,-175.2,-21.2,3/8/2022
48,dikson,-26.54,100,100,7.11,1646700810,RU,80.5464,73.5069,3/8/2022
49,mnogovershinnyy,14.34,87,90,3.06,1646700810,RU,139.9242,53.9353,3/8/2022
50,santa cruz,76.46,88,20,4.61,1646700673,BO,-63.1667,-17.8,3/8/2022
51,egvekinot,23.05,95,100,3.04,1646700810,RU,-179.1667,66.3167,3/8/2022
52,bocas del toro,78.73,75,6,3.58,1646700811,PA,-82.25,9.3333,3/8/2022
53,qaanaaq,1.65,68,100,3.36,1646700811,GL,-69.3632,77.484,3/8/2022
54,skjervoy,35.58,77,100,13.65,1646700811,NO,20.9714,70.0311,3/8/2022
55,victoria,61.65,57,25,11.99,1646700737,HK,114.1577,22.2855,3/8/2022
56,carnarvon,89.67,27,1,14.97,1646700812,AU,113.6333,-24.8667,3/8/2022
57,peterhead,39.06,82,14,24.05,1646700812,GB,-1.7981,57.5058,3/8/2022
58,kodiak,38.7,97,100,19.42,1646700812,US,-152.4072,57.79,3/8/2022
59,delijan,45.37,72,99,2.71,1646700812,IR,50.6838,33.9905,3/8/2022
60,hobart,61.79,50,75,12.66,1646700556,AU,147.3294,-42.8794,3/8/2022
61,neryungri,8.35,94,73,0.45,1646700813,RU,124.6491,56.6709,3/8/2022
62,henties bay,61.86,87,3,3.2,1646700813,NA,14.2845,-22.116,3/8/2022
63,vanimo,82.89,79,98,0.45,1646700813,PG,141.3028,-2.6741,3/8/2022
64,atuona,78.58,79,16,13.06,1646700814,PF,-139.0333,-9.8,3/8/2022
65,cabo san lucas,70.66,61,0,6.73,1646700516,MX,-109.9124,22.8909,3/8/2022
66,tondano,71.69,66,98,5.46,1646700814,ID,124.9112,1.3038,3/8/2022
67,puerto ayora,78.28,80,75,7.02,1646700814,EC,-90.3518,-0.7393,3/8/2022
68,port-cartier,22.75,97,100,4.45,1646700815,CA,-66.8654,50.0334,3/8/2022
69,ushuaia,47.86,61,20,9.22,1646700815,AR,-68.3,-54.8,3/8/2022
70,taoudenni,66.78,19,0,10.74,1646700815,ML,-3.9836,22.6783,3/8/2022
71,norman wells,14.04,73,100,12.66,1646700815,CA,-126.8329,65.282,3/8/2022
72,airai,64.38,85,100,0.81,1646700816,TL,125.4092,-8.9266,3/8/2022
73,klaksvik,43.72,76,100,27.29,1646700816,FO,-6.589,62.2266,3/8/2022
74,poum,81.19,74,100,3.6,1646700816,NC,164.0167,-20.2333,3/8/2022
75,mahebourg,75.49,100,75,2.3,1646700816,MU,57.7,-20.4081,3/8/2022
76,chokurdakh,-13.2,96,94,4.14,1646700817,RU,147.9167,70.6333,3/8/2022
77,rocha,63.77,78,100,6.78,1646700817,UY,-54.3333,-34.4833,3/8/2022
78,birjand,52.27,58,40,11.5,1646700817,IR,59.2211,32.8663,3/8/2022
79,vila,35.96,89,100,6.2,1646700817,PT,-8.1588,42.0304,3/8/2022
80,vardo,25.84,87,100,18.95,1646700818,NO,31.1107,70.3705,3/8/2022
81,samarai,86.5,70,76,12.26,1646700818,PG,150.6667,-10.6167,3/8/2022
82,jalu,64.65,39,100,10.92,1646700818,LY,21.5482,29.0331,3/8/2022
83,hornepayne,7.05,99,100,2.98,1646700819,CA,-84.7705,49.2138,3/8/2022
84,sussex,62.56,76,100,8.01,1646700819,US,-74.6663,41.1834,3/8/2022
85,yar-sale,-25.46,98,74,12.91,1646700819,RU,70.8333,66.8333,3/8/2022
86,shingu,47.91,35,0,2.86,1646700819,JP,135.9833,33.7333,3/8/2022
87,barrow,-8.48,95,24,8.97,1646700820,US,-156.7887,71.2906,3/8/2022
88,bitung,79.65,67,95,1.88,1646700820,ID,125.1824,1.4451,3/8/2022
89,xining,41.88,26,6,2.93,1646700711,CN,101.7667,36.6167,3/8/2022
90,toowoomba,79.61,60,0,5.01,1646700820,AU,151.9667,-27.55,3/8/2022
91,mantua,38.32,72,40,7,1646700821,IT,10.7833,45.1667,3/8/2022
92,bulgan,24.76,73,100,1.48,1646700821,MN,103.5347,48.8125,3/8/2022
93,lasa,27.59,53,3,2.93,1646700821,IT,10.7002,46.6166,3/8/2022
94,khatanga,-22.32,94,24,8.01,1646700821,RU,102.5,71.9667,3/8/2022
95,lata,48.43,93,100,8.03,1646700822,PT,-8.3327,40.1629,3/8/2022
96,okha,11.52,90,82,9.19,1646700822,RU,142.9478,53.5739,3/8/2022
97,severnoye,-4.67,91,100,14.38,1646700822,RU,78.3619,56.3491,3/8/2022
98,ponta do sol,60.35,81,91,6.82,1646700822,PT,-17.1,32.6667,3/8/2022
99,arraial do cabo,77.58,86,5,20.74,1646700823,BR,-42.0278,-22.9661,3/8/2022
100,la reforma,73.2,57,0,12.64,1646700823,MX,-108.05,25.0833,3/8/2022
101,zyryanka,-15.02,91,54,7.4,1646700823,RU,150.85,65.75,3/8/2022
102,anchorage,32.9,60,0,8.05,1646700534,US,-149.9003,61.2181,3/8/2022
103,nelson bay,75.81,80,86,3.15,1646700824,AU,152.15,-32.7167,3/8/2022
104,san quintin,58.89,64,0,13.89,1646700824,MX,-115.95,30.4833,3/8/2022
105,ancud,55.47,81,84,14.32,1646700824,CL,-73.8203,-41.8697,3/8/2022
106,provideniya,23.45,91,100,11.54,1646700824,RU,-173.3,64.3833,3/8/2022
107,campo maior,71.74,98,100,5.73,1646700825,BR,-42.1686,-4.8278,3/8/2022
108,vysokogornyy,17.46,84,98,4.36,1646700825,RU,139.15,50.1167,3/8/2022
109,komyshany,29.66,83,57,6.51,1646700825,UA,32.5072,46.6372,3/8/2022
110,ngunguru,73.17,79,43,13.71,1646700825,NZ,174.5,-35.6167,3/8/2022
111,bac lieu,81.86,67,17,23.4,1646700826,VN,105.7244,9.285,3/8/2022
112,vostok,21.34,83,98,2.84,1646700826,RU,135.8833,46.4856,3/8/2022
113,port alfred,72.05,88,100,9.75,1646700826,ZA,26.891,-33.5906,3/8/2022
114,nanchang,53.22,74,0,5.28,1646700827,CN,115.8833,28.6833,3/8/2022
115,kurilsk,26.55,73,99,17.67,1646700827,RU,147.8833,45.2333,3/8/2022
116,sechura,75.88,78,21,8.12,1646700827,PE,-80.8222,-5.5569,3/8/2022
117,magelang,77.74,85,100,0.67,1646700827,ID,110.2178,-7.4706,3/8/2022
118,georgetown,77.02,94,20,5.01,1646700781,MY,100.3354,5.4112,3/8/2022
119,mao,43.36,75,75,1.14,1646700828,ES,4.2658,39.8885,3/8/2022
120,kirakira,85.84,74,99,7,1646700828,SB,161.9205,-10.4544,3/8/2022
121,bethel,56.66,93,100,17.13,1646700829,US,-73.414,41.3712,3/8/2022
122,geraldton,86.41,26,90,27.63,1646700829,AU,114.6,-28.7667,3/8/2022
123,weatherford,44.4,52,100,3,1646700829,US,-97.7972,32.7593,3/8/2022
124,saint-philippe,75.79,87,100,10.89,1646700829,RE,55.7679,-21.3585,3/8/2022
125,verkhoyansk,-17.61,93,100,2.26,1646700830,RU,133.385,67.5447,3/8/2022
126,fare,81.77,72,89,11.99,1646700830,PF,-151.0167,-16.7,3/8/2022
127,unity,22.24,83,100,27.92,1646700830,CA,-109.1682,52.4501,3/8/2022
128,tuktoyaktuk,5,78,100,6.91,1646700830,CA,-133.0374,69.4541,3/8/2022
129,castro,68.7,80,92,3.22,1646700831,BR,-50.0119,-24.7911,3/8/2022
130,uruapan,64,45,4,1.32,1646700689,MX,-102.0667,19.4167,3/8/2022
131,college,30.54,53,40,10.36,1646700635,US,-147.8028,64.8569,3/8/2022
132,pontivy,36.59,87,5,9.84,1646700831,FR,-3,48,3/8/2022
133,tura,68.59,41,0,2.91,1646700786,IN,90.2201,25.5198,3/8/2022
134,husavik,35.51,75,100,6.62,1646700831,IS,-17.3389,66.0449,3/8/2022
135,lagoa,57.63,62,100,22.53,1646700832,PT,-27.9833,39.05,3/8/2022
136,giresun,18.72,96,100,5.53,1646700832,TR,38.5,40.5,3/8/2022
137,christchurch,67.86,66,40,18.41,1646700605,NZ,172.6333,-43.5333,3/8/2022
138,cayenne,78.1,91,75,6.91,1646700832,GF,-52.3333,4.9333,3/8/2022
139,vught,34.32,63,1,9.01,1646700832,NL,5.2833,51.65,3/8/2022
140,tasiilaq,2.37,77,26,9.19,1646700833,GL,-37.6368,65.6145,3/8/2022
141,mrakovo,7.03,96,97,3.27,1646700833,RU,56.6244,52.7161,3/8/2022
142,mandalgovi,35.94,22,44,4.97,1646700833,MN,106.2708,45.7625,3/8/2022
143,necochea,61.03,74,0,10.98,1646700834,AR,-58.7368,-38.5473,3/8/2022
144,wonthaggi,65.73,66,100,15.23,1646700834,AU,145.5913,-38.6044,3/8/2022
145,cherskiy,-9.33,93,100,4.56,1646700834,RU,161.3,68.75,3/8/2022
146,faanui,81.84,72,100,12.97,1646700834,PF,-151.75,-16.4833,3/8/2022
147,lorengau,84.25,74,100,9.1,1646700835,PG,147.2712,-2.0226,3/8/2022
148,lisala,72.19,80,76,2.89,1646700835,CD,21.5167,2.15,3/8/2022
149,ankang,57.49,47,0,1.39,1646700835,CN,109.0172,32.68,3/8/2022
150,bima,82.54,81,40,2.26,1646700835,ID,118.7167,-8.4667,3/8/2022
151,kieta,84.94,67,97,4.34,1646700836,PG,155.6333,-6.2167,3/8/2022
152,itarema,73.69,92,100,2.64,1646700836,BR,-39.9167,-2.9248,3/8/2022
153,hilo,78.78,74,25,1.99,1646700836,US,-155.09,19.7297,3/8/2022
154,riyadh,71.74,22,97,10,1646700600,SA,46.7219,24.6877,3/8/2022
155,zima,30.04,99,100,4.56,1646700837,RU,102.0442,53.9202,3/8/2022
156,zhangjiakou,41.58,24,6,1.36,1646700837,CN,114.8794,40.81,3/8/2022
157,kankakee,31.91,80,100,9.22,1646700837,US,-87.8667,41.15,3/8/2022
158,yellowknife,14.47,79,100,21.85,1646700770,CA,-114.3525,62.456,3/8/2022
159,phan thiet,79.7,56,29,5.86,1646700837,VN,108.1,10.9333,3/8/2022
160,sokoni,80.56,74,100,9.46,1646700838,TZ,39.55,-6.4333,3/8/2022
161,longyearbyen,28.24,69,75,10.36,1646700838,SJ,15.6401,78.2186,3/8/2022
162,bathsheba,77.61,73,40,18.41,1646700838,BB,-59.5167,13.2167,3/8/2022
163,reconquista,70.47,95,100,5.77,1646700839,AR,-59.65,-29.15,3/8/2022
164,nhulunbuy,88.41,66,75,8.05,1646700839,AU,136.7667,-12.2333,3/8/2022
165,domoni,79.47,86,100,4.81,1646700839,KM,44.5319,-12.2569,3/8/2022
166,hirara,64.67,68,75,25.32,1646700839,JP,125.2833,24.8,3/8/2022
167,aromashevo,-6.77,94,100,11.9,1646700840,RU,68.6375,56.8602,3/8/2022
168,oistins,77.09,73,40,18.41,1646700840,BB,-59.5333,13.0667,3/8/2022
169,adrar,58.78,25,56,8.66,1646700840,MR,-10.0711,20.5022,3/8/2022
170,cockburn town,77.43,76,0,22.53,1646700764,TC,-71.1419,21.4612,3/8/2022
171,glencoe,58.14,90,71,1.43,1646700647,ZA,30.147,-28.1783,3/8/2022
172,aksarka,-21.69,95,87,12.44,1646700841,RU,67.7975,66.5606,3/8/2022
173,jacareacanga,71.73,99,95,2.06,1646700841,BR,-57.7528,-6.2222,3/8/2022
174,torbay,28.29,92,100,10.36,1646700841,CA,-52.7314,47.6666,3/8/2022
175,abancay,59.54,92,100,2.82,1646700841,PE,-72.8814,-13.6339,3/8/2022
176,kruisfontein,70.88,89,100,4.43,1646700842,ZA,24.7314,-34.0033,3/8/2022
177,new norfolk,58.91,41,100,1.99,1646700842,AU,147.0587,-42.7826,3/8/2022
178,vao,79.48,76,23,4.76,1646700842,NC,167.4833,-22.6667,3/8/2022
179,saquarema,77.02,83,5,14.83,1646700843,BR,-42.5103,-22.92,3/8/2022
180,lincoln,33.17,51,0,6.91,1646700703,US,-96.667,40.8,3/8/2022
181,gat,51.67,100,100,3.49,1646700843,IL,34.7642,31.61,3/8/2022
182,khandyga,-0.24,88,100,2.44,1646700843,RU,135.6,62.6667,3/8/2022
183,luena,60.91,96,100,4.05,1646700844,AO,19.9167,-11.7833,3/8/2022
184,mineral wells,44.6,48,100,9.89,1646700844,US,-98.1128,32.8085,3/8/2022
185,alibag,82.47,63,5,8.57,1646700844,IN,72.8792,18.6411,3/8/2022
186,ilulissat,10.85,94,100,5.66,1646700844,GL,-51.1,69.2167,3/8/2022
187,nileshwar,76.66,76,66,5.5,1646700845,IN,75.1,12.25,3/8/2022
188,urengoy,-16.85,94,100,14.61,1646700845,RU,78.3667,65.9667,3/8/2022
189,sokoto,80.8,16,0,8.37,1646700845,NG,5.239,13.0609,3/8/2022
190,grand forks,23.67,91,100,12.39,1646700846,US,-97.4337,47.9417,3/8/2022
191,saint george,48.7,17,0,21.85,1646700846,US,-113.5841,37.1041,3/8/2022
192,hegra,42.71,56,100,16.11,1646700846,NO,11.114,63.4644,3/8/2022
193,timbo,76.69,96,100,0.65,1646700846,BR,-49.2717,-26.8233,3/8/2022
194,usak,38.79,74,100,2.39,1646700656,TR,29.4167,38.5,3/8/2022
195,ixtapa,73.22,82,2,7,1646700727,MX,-105.2,20.7,3/8/2022
196,dzaoudzi,82.29,78,0,9.22,1646700847,YT,45.2699,-12.7887,3/8/2022
197,mar del plata,64.27,77,0,5.99,1646700645,AR,-57.5575,-38.0023,3/8/2022
198,slave lake,21.18,79,100,11.5,1646700847,CA,-114.769,55.2834,3/8/2022
199,saldanha,62.65,88,0,17.74,1646700848,ZA,17.9442,-33.0117,3/8/2022
200,ugoofaaru,80.71,72,98,4.54,1646700848,MV,73,5.6667,3/8/2022
201,carai,64.31,95,3,4.21,1646700798,BR,-41.6947,-17.1889,3/8/2022
202,balabac,82.26,76,100,13.98,1646700848,PH,117.0645,7.9868,3/8/2022
203,kargasok,1.29,89,100,12.73,1646700848,RU,80.8572,59.0556,3/8/2022
204,ratnagiri,76.55,49,3,4.07,1646700849,IN,73.3,16.9833,3/8/2022
205,saint-francois,29.61,78,0,3.44,1646700849,FR,3.9054,46.4154,3/8/2022
206,gotsu,42.94,51,0,2.17,1646700849,JP,132.2167,35,3/8/2022
207,srednekolymsk,-16.26,90,9,2.59,1646700850,RU,153.6833,67.45,3/8/2022
208,tuatapere,77.83,51,22,4.9,1646700610,NZ,167.6833,-46.1333,3/8/2022
209,cruzeiro do sul,71.06,94,100,4.7,1646700850,BR,-51.9853,-29.5128,3/8/2022
210,ouadda,72.66,18,100,1.16,1646700850,CF,22.4007,8.0777,3/8/2022
211,uvalde,58.33,17,0,9.22,1646700850,US,-99.767,29.3669,3/8/2022
212,teeli,20.08,95,100,2.08,1646700851,RU,90.2333,51.0333,3/8/2022
213,yerbogachen,1.17,93,100,7.92,1646700851,RU,108.0108,61.2767,3/8/2022
214,hambantota,75.54,100,20,4.61,1646700851,LK,81.1185,6.1241,3/8/2022
215,cururupu,73.4,98,100,2.8,1646700852,BR,-44.8683,-1.8283,3/8/2022
216,mayumba,80.35,88,100,5.44,1646700852,GA,10.6554,-3.432,3/8/2022
217,launceston,63.72,55,40,21.85,1646700852,AU,147.1667,-41.45,3/8/2022
218,port lincoln,65.59,68,100,17.43,1646700853,AU,135.8667,-34.7333,3/8/2022
219,nurmijarvi,25.93,76,75,10.36,1646700853,FI,24.8073,60.4641,3/8/2022
220,kununurra,87.78,58,100,4.61,1646700853,AU,128.7333,-15.7667,3/8/2022
221,nanortalik,12.54,78,10,8.84,1646700853,GL,-45.2371,60.1432,3/8/2022
222,port elizabeth,70.09,94,100,10.36,1646700854,ZA,25.5701,-33.918,3/8/2022
223,san cristobal,71.78,91,20,3.65,1646700854,VE,-72.225,7.7669,3/8/2022
224,sitka,39.51,82,100,4.88,1646700854,US,-135.33,57.0531,3/8/2022
225,meulaboh,76.91,89,100,6.6,1646700855,ID,96.1285,4.1363,3/8/2022
226,ankazoabo,72.45,69,10,3.27,1646700855,MG,44.5167,-22.2833,3/8/2022
227,ambunti,83.12,77,100,1.92,1646700855,PG,142.8448,-4.2365,3/8/2022
228,varzelandia,68.29,73,24,4.92,1646700856,BR,-44.0275,-15.7014,3/8/2022
229,komsomolskiy,45.32,81,75,9.22,1646700856,UZ,71.7189,40.4272,3/8/2022
230,hervey bay,91.04,78,0,8.72,1646700856,AU,152.8535,-25.2986,3/8/2022
231,ribeira grande,58.68,63,85,20.6,1646700857,PT,-28.7,38.5167,3/8/2022
232,korla,43.16,30,39,4.85,1646700857,CN,86.1469,41.7597,3/8/2022
233,ajaccio,30.88,80,0,8.05,1646700857,FR,8.9167,42,3/8/2022
234,namibe,72,69,100,7,1646700857,AO,12.1522,-15.1961,3/8/2022
235,neyshabur,44.37,80,100,4.79,1646700858,IR,58.7958,36.2133,3/8/2022
236,usinsk,-26.93,98,100,7.65,1646700858,RU,57.5281,65.9939,3/8/2022
237,lobito,76.93,83,100,3.83,1646700858,AO,13.5456,-12.3481,3/8/2022
238,marawi,70.65,85,100,3.94,1646700859,PH,124.2928,7.9986,3/8/2022
239,kautokeino,-3.33,100,98,2.68,1646700859,NO,23.0412,69.0125,3/8/2022
240,deputatskiy,-21.8,99,83,2.1,1646700859,RU,139.9,69.3,3/8/2022
241,faranah,76.96,20,99,5.12,1646700859,GN,-10.7434,10.0404,3/8/2022
242,swan hill,74.48,46,11,20.22,1646700860,AU,143.5544,-35.3378,3/8/2022
243,kandalaksha,4.93,97,100,4.68,1646700860,RU,32.4123,67.162,3/8/2022
244,odienne,78.1,18,75,3.6,1646700860,CI,-7.5692,9.51,3/8/2022
245,tilichiki,12.51,84,100,10.33,1646700861,RU,166.1,60.4667,3/8/2022
246,ormara,72.63,69,4,4.97,1646700861,PK,64.6357,25.2088,3/8/2022
247,clyde river,-18.17,83,0,3.44,1646700861,CA,-68.5914,70.4692,3/8/2022
248,tacna,66.54,79,100,3.22,1646700861,PE,-70.2483,-18.0056,3/8/2022
249,kavieng,84.09,69,100,9.42,1646700862,PG,150.7967,-2.5744,3/8/2022
250,khani,36.97,65,100,5.73,1646700862,GE,42.9566,41.9563,3/8/2022
251,fortuna,57.6,60,0,14.97,1646700862,US,-124.1573,40.5982,3/8/2022
252,kavaratti,80.76,71,8,1.88,1646700862,IN,72.642,10.5669,3/8/2022
253,cairns,91.35,58,40,1.14,1646700780,AU,145.7667,-16.9167,3/8/2022
254,muisne,77.16,89,70,5.1,1646700863,EC,-80.0333,0.6,3/8/2022
255,sheboygan,29.52,72,100,10.36,1646700611,US,-87.9334,43.7333,3/8/2022
256,muros,50.65,89,49,17.72,1646700863,ES,-9.0603,42.7762,3/8/2022
257,cariati,42.62,72,15,10.94,1646700863,IT,16.9594,39.4922,3/8/2022
258,caravelas,75.56,84,6,5.01,1646700864,BR,-39.2481,-17.7125,3/8/2022
259,ayan,10.33,86,99,4.94,1646700864,RU,138.1667,56.45,3/8/2022
260,sinnamary,76.55,89,100,11.88,1646700864,GF,-52.95,5.3833,3/8/2022
261,vila velha,76.95,88,20,2.3,1646700864,BR,-40.2925,-20.3297,3/8/2022
262,maracas,65.3,87,98,7.72,1646700865,BR,-40.4308,-13.4411,3/8/2022
263,pemangkat,78.89,80,12,3.42,1646700865,ID,108.9667,1.1667,3/8/2022
264,malyn,28.4,97,84,7.56,1646700865,UA,29.2383,50.7723,3/8/2022
265,upernavik,-2.11,96,100,3.51,1646700866,GL,-56.1549,72.7868,3/8/2022
266,barreiras,70.21,92,71,1.74,1646700723,BR,-44.99,-12.1528,3/8/2022
267,iqaluit,-2.47,78,100,2.3,1646700866,CA,-68.5145,63.7506,3/8/2022
268,stokmarknes,33.49,85,100,5.57,1646700866,NO,14.9108,68.5646,3/8/2022
269,okhotsk,3.65,85,10,10.71,1646700867,RU,143.3,59.3833,3/8/2022
270,mpanda,63.45,97,44,1.5,1646700867,TZ,31.0409,-6.3655,3/8/2022
271,najran,63.25,39,53,5.77,1646700867,SA,44.1277,17.4924,3/8/2022
272,plouzane,37.36,75,0,13.8,1646700867,FR,-4.6167,48.3833,3/8/2022
273,sommerda,28.71,69,59,0.65,1646700868,DE,11.1,51.15,3/8/2022
274,carstairs,25.97,64,7,21,1646700868,CA,-114.102,51.5668,3/8/2022
275,maniitsoq,11.98,93,100,7.56,1646700868,GL,-52.9,65.4167,3/8/2022
276,imbituba,81.82,92,63,6.8,1646700671,BR,-48.6703,-28.24,3/8/2022
277,labuhan,84.09,80,100,4.16,1646700869,ID,112.2051,-6.8844,3/8/2022
278,issoire,29.46,72,0,5.57,1646700869,FR,3.25,45.55,3/8/2022
279,mlonggo,78.69,80,100,2.66,1646700869,ID,110.7,-6.5333,3/8/2022
280,bilma,81.43,11,85,2.44,1646700869,NE,12.9164,18.6853,3/8/2022
281,banda aceh,79.97,78,100,2.75,1646700870,ID,95.3222,5.5577,3/8/2022
282,tessalit,61.48,18,0,8.79,1646700870,ML,1.0114,20.1986,3/8/2022
283,makakilo city,77.16,63,100,9.22,1646700870,US,-158.0858,21.3469,3/8/2022
284,nizhnyaya tura,-14.71,100,97,2.24,1646700870,RU,59.8118,58.6293,3/8/2022
285,guerrero negro,61.45,59,0,16.89,1646700716,MX,-114.0611,27.9769,3/8/2022
286,alyangula,85.87,84,75,8.05,1646700871,AU,136.4192,-13.8483,3/8/2022
287,torres,75.83,95,100,6.85,1646700871,BR,-49.7269,-29.3353,3/8/2022
288,terrace,46.31,65,75,2.3,1646700871,CA,-128.6035,54.5163,3/8/2022
289,yulara,75.04,33,0,14.97,1646700872,AU,130.9889,-25.2406,3/8/2022
290,bannu,59.49,68,100,3.67,1646700872,PK,70.6027,32.9854,3/8/2022
291,mae sai,69.04,84,27,1.3,1646700872,TH,99.8762,20.4335,3/8/2022
292,leningradskiy,11.37,92,84,5.77,1646700872,RU,178.4167,69.3833,3/8/2022
293,dodoma,64.63,93,41,2.62,1646700873,TZ,35.7395,-6.1722,3/8/2022
294,san felipe,69.58,95,96,5.01,1646700873,VE,-68.7425,10.3399,3/8/2022
